"";"school_id";"gender";"immig";"video_games";"internet";"mmins";"tmins";"sc_DISCRIM";"sc_BELONG";"sc_PERCOMP";"sc_PERCOOP";"TEACHSUP";"EMOSUPS";"COGFLEX";"GFOFAIL";"COMPETE";"EUDMO";"misced";"cultural_possession";"home_educ_resources";"ESCS";"math_PISA_score";"late";"early"
"2";"38000204";"1";"0";"0";"1";200;1800;-0,4235;0,6246;2,0378;1,6762;-0,2023;1,0346;0,9817;-0,687;2,0054;-0,4066;4;1,4675;1,1793;0,8707;1,11208600550914;"0";"0"
"6";"38000397";"0";"0";"1";"1";300;1620;0,0963;-0,8826;0,6912;-0,5107;0,6259;1,0346;-0,1944;-0,687;2,0054;0,147;6;0,1362;-0,1357;1,0221;1,9597234928523;"0";"0"
"7";"38000352";"0";"0";"1";"1";180;1800;-1,1549;0,6246;-1,9892;0,6012;-0,5575;1,0346;-1,162;0,8207;0,4978;0,9269;6;1,4675;1,1793;1,0009;1,02177756795873;"1";"0"
"8";"38000397";"0";"0";"1";"1";300;1680;-0,4235;-0,8186;1,0326;-0,1855;0,3995;1,0346;2,1449;-1,8939;0,849;-1,0946;6;0,6842;0,1806;0,6091;2,0450246858367;"0";"0"
"10";"38000469";"0";"0";"1";"1";180;1620;0,5881;-0,8694;-0,6142;0,6012;-0,3971;1,0346;-0,8312;0,052;-0,2661;0,2621;5;0,8419;-0,1357;-0,4785;-0,508236081629188;"0";"0"
"13";"38000094";"1";"0";"0";"1";200;1750;-1,1549;-1,2375;-0,043;1,2992;0,7628;0,5029;0,5013;-1,4869;0,0385;-0,569;4;-0,485;-0,1357;-0,2583;1,95608489513434;"0";"0"
"17";"38000508";"1";"0";"0";"0";200;1600;-1,1549;0,6818;0,202;0,6012;0,3485;0,5029;-0,0237;-1,8939;-0,5707;-0,6723;6;1,4675;1,1793;1,176;2,16551011730488;"0";"0"
"20";"38000281";"1";"0";"0";"1";300;1800;0,0963;0,9517;-0,1532;-0,1855;-0,3971;1,0346;-0,2729;-0,4342;0,1956;-0,3121;6;-0,0133;1,1793;0,3874;0,0205845805914779;"0";"0"
"21";"38000062";"0";"0";"1";"0";180;1665;-1,1549;0,9303;-0,6142;1,2992;-0,6298;1,0346;-0,2339;0,4637;-0,4112;0,2621;5;0,2893;1,1793;0,9132;0,994883101034224;"0";"0"
"23";"38000431";"0";"0";"1";"1";165;1760;-1,1549;-0,6843;-0,6142;-0,9391;0,3485;-1,5824;-0,6286;0,4637;-0,9792;0,2621;2;-0,0367;1,1793;-1,3729;-0,475388557276207;"1";"0"
"25";"38000207";"1";"0";"1";"1";150;1650;-0,1731;-0,463;0,202;-0,5107;-2,7106;-0,6576;0,6715;-0,2006;-2,345;0,2621;2;-0,485;-0,6853;-1,0625;0,893725633590814;"0";"0"
"28";"38000509";"1";"0";"0";"1";165;1485;-1,1549;-0,5635;0,2865;-0,9391;-0,2327;-1,3939;-1,3645;1,4083;0,1956;-0,6723;6;0,6842;1,1793;1,5976;0,0531984335313783;"0";"0"
"30";"38000028";"1";"0";"1";"1";150;1800;-1,1549;0,1695;0,6912;1,6762;0,2148;1,0346;-0,6318;0,052;0,1956;0,2621;5;0,8419;1,1793;0,2731;0,178813508877177;"0";"0"
"32";"38000070";"0";"0";"1";"1";180;1800;-1,1549;-0,9803;0,8711;0,9995;1,314;0,2127;-0,4097;1,3423;-0,9792;-1,3539;4;0,6392;0,031;-0,5114;1,00212691483971;"0";"1"
"34";"38000255";"1";"0";"0";"1";200;1650;-0,5252;1,4903;-0,1532;-0,5107;-0,0037;1,0346;-0,8312;-0,4342;-0,8279;0,8126;4;-0,4303;-0,3792;-0,5973;0,279948721900295;"0";"0"
"36";"38000352";"0";"0";"1";"1";240;1620;0,2143;0,3018;-1,36;-0,9391;-0,9514;-0,6576;-0,8312;-0,3799;-0,9792;-0,6723;4;0,8419;1,1793;0,0633;1,52875551666148;"0";"0"
"37";"38000500";"0";"0";"1";"1";300;1620;-1,1549;-0,1843;-0,6142;0,6012;1,314;1,0346;-0,4951;1,1422;1,2643;0,2621;3;0,8419;1,1793;-0,5786;-0,0220771431108689;"0";"0"
"38";"38000508";"1";"0";"0";"0";200;1600;0,5881;-0,8461;1,563;-0,9391;0,7628;1,0346;-2,0552;1,8905;-0,5707;-0,523;4;0,8419;1,1793;0,195;0,503405356065795;"0";"0"
"39";"38000249";"1";"0";"1";"1";135;1215;-1,1549;0,9303;-1,1126;0,6012;0,385;1,0346;2,1449;-0,687;0,7262;1,7411;4;0,8419;-0,1357;-0,0297;-0,509437820325028;"0";"0"
"43";"38000255";"1";"0";"1";"1";200;1500;-1,1549;1,4903;-1,0299;1,6762;0,7015;-1,0657;-0,5449;-0,687;-0,5707;-0,92;4;0,2294;-0,1357;-0,1866;-0,478726720320209;"0";"0"
"48";"38000084";"1";"0";"0";"1";300;1620;-0,6615;0,6818;0,0866;-0,1855;-0,0439;-0,6576;1,1068;0,1097;1,2643;-0,267;6;0,2003;1,1793;0,7762;0,241170394539137;"0";"0"
"56";"38000281";"0";"0";"1";"1";60;1800;-0,4235;0,6818;-1,9892;0,6012;-0,0348;1,0346;-0,2153;-0,687;0,1956;0,2621;2;0,6842;1,1793;-0,8327;-0,209759796654814;"0";"1"
"58";"38000335";"1";"0";"0";"1";150;1750;-1,1549;-0,6765;0,2865;0,6012;-1,7803;-1,3914;0,2165;-0,4342;-0,9792;1,348;6;-0,1035;-0,1357;0,3784;1,10732355956636;"0";"0"
"59";"38000368";"1";"0";"1";"0";180;1440;-0,1731;0,9683;-0,6142;-0,1855;0,7628;1,0346;0,7809;-0,687;-0,5707;-0,6723;2;-0,0063;0,0477;-0,5739;0,080827296325569;"0";"0"
"67";"38000065";"1";"0";"1";"0";360;1740;0,7653;-0,8008;-0,3035;-1,3047;1,314;-1,0691;1,3651;1,4083;2,0054;-0,6723;5;1,4675;0,031;0,9844;0,255569004468932;"0";"0"
"68";"38000412";"1";"0";"0";"1";180;1620;-1,1549;0,9423;-0,6142;-0,1855;1,314;1,0346;-0,9926;-1,4869;0,571;0,2621;2;-1,8379;0,0477;-1,5924;-0,436543466654169;"0";"0"
"87";"38000288";"0";"0";"1";"1";150;1600;1,9708;0,1853;0,6912;-0,1855;1,314;-0,6576;-1,2011;0,8794;1,1811;1,1963;4;0,1948;-0,1357;-0,46;0,226738402978901;"0";"0"
"88";"38000473";"1";"0";"1";"1";180;1620;-1,1549;0,3349;-0,4045;-0,9391;-1,415;-1,3914;-0,6944;-1,8939;0,7262;0,6367;6;0,6842;-1,0118;0,9411;1,29708700140773;"0";"0"
"100";"38000304";"0";"0";"1";"1";200;1600;-1,1549;-0,0553;0,202;0,6012;0,6259;1,0346;-0,0237;0,8794;1,1811;0,5454;4;0,5763;1,1793;-0,2772;1,49821132480886;"0";"0"
"102";"38000237";"0";"0";"1";"1";300;1620;-1,1549;0,6818;0,6912;-0,9391;-0,5864;1,0346;-0,445;-0,687;0,7871;0,2621;5;0,8419;1,1793;0,9865;-0,128208473489842;"0";"0"
"105";"38000326";"1";"0";"0";"1";180;1485;0,5881;-0,4509;-0,6142;0,6012;-1,8485;0,6402;-1,3606;1,1911;-0,6888;0,2621;6;-1,8379;1,1793;0,348;0,578202462671735;"0";"0"
"107";"38000183";"0";"0";"1";"1";240;1800;-1,1549;0,0716;-0,1532;-0,2119;-0,3971;0,2127;-1,0423;-0,3799;0,1956;-0,0193;2;-0,1035;1,1793;-1,302;-0,0617456472837605;"1";"0"
"108";"38000421";"0";"0";"1";"1";300;1620;0,4246;-0,0358;0,6912;-0,9391;-0,2023;-0,6576;-0,4192;-0,7592;1,1811;0,2621;6;0,5414;1,1793;0,254;0,573529034410133;"0";"0"
"111";"38000171";"1";"0";"0";"0";200;1650;0,2281;0,6818;-1,2276;-1,4801;-1,0955;-1,5847;-0,475;0,4637;-1,2263;-0,1652;6;-0,686;-1,5925;0,2344;-0,540493863844395;"1";"0"
"115";"38000421";"1";"0";"0";"1";165;1265;4e-04;-2,0232;0,0866;-0,9391;0,7015;-0,6576;0,5535;1,1911;0,3709;-1,4829;2;0,2594;0,031;-1,4119;0,0392115303770094;"0";"0"
"118";"38000139";"1";"0";"0";"1";180;2040;0,5881;-0,5582;-0,6142;-0,9391;0,2485;-1,5824;-1,008;0,4637;-0,5229;-0,6723;4;-5e-04;-1,0752;-1,1244;-1,82391740937188;"0";"0"
"124";"38000254";"1";"0";"0";"1";150;1650;0,3228;-0,9228;-0,1532;-0,5107;0,039;-1,1847;-0,8382;0,8207;0,1956;-0,6723;6;0,3518;1,1793;0,6913;-0,303050326524525;"0";"0"
"126";"38000248";"1";"0";"0";"1";200;1600;-0,6615;-0,0845;-1,1126;-0,5358;-0,0439;0,2127;-0,9926;1,8905;-2,345;-0,9827;6;1,4675;0,0477;1,1925;0,445198919788545;"0";"0"
"131";"38000233";"0";"0";"1";"1";240;1620;0,0963;1,4685;1,0326;-0,5107;-0,9422;-0,6439;1,1068;1,0109;0,411;0,7522;4;0,2893;1,1793;-0,1197;-0,333906080261252;"0";"0"
"135";"38000204";"1";"0";"0";"1";150;1700;-0,2021;0,6818;-0,6142;0,6012;-1,3684;-1,0691;-0,8312;-0,2006;-0,8279;-0,9827;6;0,6842;1,1793;1,3383;0,742006123240918;"0";"0"
"147";"38000489";"0";"0";"1";"0";180;1620;-0,2861;1,4903;-0,2309;-0,9391;-0,9828;0,5029;0,1318;-0,4342;1,1811;0,9269;6;-0,5948;0,1806;0,0757;-0,0221661607920421;"1";"0"
"148";"38000230";"1";"0";"1";"1";240;2700;-0,4235;0,2983;0,6912;-0,1855;-0,0014;1,0346;0,1186;1,0109;2,0054;0,8126;6;0,6392;1,1793;1,1064;-0,567966945696532;"0";"1"
"155";"38000283";"1";"0";"0";"1";220;1485;0,2143;-0,5429;0,552;-0,1855;0,385;1,0346;-1,3505;0,4637;2,0054;-0,9827;4;-0,686;-0,1357;0,0372;0,806989030497493;"0";"0"
"156";"38000366";"0";"0";"1";"1";360;1620;-0,08;-0,3184;0,202;-0,9391;-0,2327;-1,0691;-0,9334;-0,4342;0,1956;-0,569;6;0,1073;1,1793;1,4296;1,97782746376094;"0";"0"
"160";"38000112";"1";"0";"0";"0";150;1800;0,7312;-0,0401;0,6912;1,6762;-1,7803;1,0346;0,6814;0,052;1,2643;-0,569;6;0,8419;-0,1357;1,2928;1,56544192851506;"0";"0"
"161";"38000198";"1";"0";"1";"0";200;1700;0,0135;0,9683;0,2865;0,9995;-0,5575;-0,67;1,0352;-1,4869;-0,733;0,2621;4;1,4675;-0,1357;0,3578;0,273728611428303;"1";"0"
"162";"38000354";"1";"0";"1";"1";165;1540;-0,5252;-0,0553;0,6912;0,6012;1,314;-0,6576;0,2024;1,8905;-0,733;-0,3121;4;0,6842;-0,1357;-0,276;0,0252691360632275;"0";"0"
"163";"38000400";"0";"0";"1";"1";120;1860;-1,1549;0,9683;2,0378;-0,2814;0,1597;1,0346;0,6814;1,8905;1,1811;1,7411;6;0,5239;-0,1357;1,1679;0,990821669330688;"0";"1"
"166";"38000415";"0";"0";"1";"1";180;1800;-0,2021;0,1961;-1,9892;-2,1428;-0,9828;-0,6576;0,0028;1,4083;2,0054;-0,4066;3;0,8419;1,1793;-0,3553;-1,20513325311536;"0";"0"
"167";"38000344";"0";"0";"0";"1";300;1350;-1,1549;-0,0829;0,6912;-0,5107;-0,2023;1,0346;1,4864;-1,8939;0,2653;0,7845;6;1,4675;1,1793;1,2597;1,39593000914064;"1";"0"
"168";"38000337";"1";"2";"1";"1";300;1620;-1,1549;-0,0358;-0,2309;-0,9391;-0,2023;-0,6576;-0,8312;0,4637;1,2643;-0,9827;6;1,4675;-0,1357;1,3982;1,37199538011514;"0";"0"
